;8.jpg;9.jpg;14.jpg;29.jpg;15.jpg;17.jpg;16.jpg;12.jpg;40.jpeg;13.jpg;39.jpg;11.jpg;10.jpg;38.jpg;21.jpg;35.jpg;34.jpg;20.jpg;36.jpg;22.jpg;23.jpg;37.jpg;33.jpg;27.jpg;26.jpg;18.jpg;24.jpg;30.jpg;19.jpeg;31.jpg;25.jpg;4.jpg;28.jpeg;5.jpg;7.jpg;32.jpeg;6.jpg;2.jpg;3.jpg;1.jpg
multa;0,3;0,0,0,0,0,0,0,0,0,0,1,0,0;0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,4,0,0,0;0,0,0,0,0,0,3,0,1,1,0;0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0;0,0,0,0,0,0,0,0,0,3;0,0,2,1,0,0,0,0,0,0,0,3,2,0;0,0,0,2,0,0;0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0;0,1,0,4,0,3,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0;0,1,0,0,0,1,2,0,2,0,1;0,0,3,0,0,0,0,0,0,0,2,1;0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0;0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0;0,0,3,1,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0;0,3,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0;100,4,3,4,4,4,3,4,0,2,1,4,4,0;0,0,0,3,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,0,2,1,1,0,1,0;0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0;0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0;0,0,0,0,0,4,2,0,2;0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0;0,3;0,0,3,0,0,0,0,0,0,1;0,0,3,1,0,0,3,3,0,0,0,0,0,3,0,0,0;0,0,0,0,0;0,0,0,0,0,0,4,0,2;0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0;0,0,0;0,0,0,0,0,0,0;0,0,1,0,0,0,0,0
musica;0,0,0,0,0,0,0,2,0;0,0,0,2,0,0,0;0,0,0,2,0,0,0,0,0,2,0,0;0,0,0,2,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1;0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,1,0,0;0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,1,0,0;0,0,0,4,0,0,0,1,0,1;0,0,0,2,0;0,3,0,1;0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2;0,0,4,0,0,1,0,0,1,0;0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0;0,0,0,1;0,0;0,0,0,0;0,0,0,0,0,0;0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0;0,0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,3,2,1,2,0,1,0,0;0,0,0,0;90,4,4,0,4,4,0,0,4,2,4,1;0,1,0,0;0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3;0,0,1,1,0,0,3,3,0,0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0;100,4,4,4,3,3,4,0,4;0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,1,0,1,0,0,0,0,0,0,0,0;0,0,0;0,0,0,4,0,3,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0;0,0,0,0,1,3,0,0,0;0,0,0,0,0,0,0,0,1,0,0,0,0,0
naranja;100,4,1,4,4;0,0,0,2,0;0,0;0,1,0,3,2;0,0,0,0,0,0;0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0,0,0;0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0;0,4,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0;0,0,4,0,0,4,0,0,1,0,0,4,2,0,0,0;0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0;0,0,0,0,3;0,1,1,0,0,1,0,0,2,0,2,0,0,0,0,0;0,0,0,0,2,0;0,1,0,1,0,1,0,0,3,0,0,3,0,0,0,0,0;0,0,3;0,0,0,0,0,0,0,0,0,0,0,0,1,0,1;0,0,0,0,2,0,2,0;0,3,0,0,0,0,1,0,0,2,0,0,1,1,0,2;0,0,1,0,1,0,0,0,1,0,4,0,0,0,0,0,2,0;0,0,0,3,0,0,0,0,0,4,0,3,3,0;0,1,0,0,1,2,0,0,0,4,3,0,0,0,0;0,0,0,2,0,0,0,0,0,0,0,3,0,2,0;0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,3;0,0,0,4,1,1,0,2,1,4,0,0,0,0,0,1,0,2,0,0,0;0,0,0,0,0,0,0,2,0,0,0,1,0,1,3;0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0;0,0,0,0,0,0,1;0,0,1,1,0,0,0;0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0;0,0,0,3,0,0,0,0,1,0,0,0,0;0,0,1;0,0,0,1,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,1,0,1,0,1,0,0,3,0,1,0,2;0,0,0,0,0,0,2,1,1,1,1,0,0,0,2;0,0,0,4,0,0,0
negra;10,0,0,0,0,0,0,0,0;0,2,0,0,0,0,1,0,0,0,1,0;0,1,0,2,0,0;0,2,0,0,0,0,2,0,1;0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0;0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0;0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,0,2,0,2,0;0,0,0,0,3,3,1,0,0,0,0,0;0,2,0,0,0;0,0,0,0,0,0,0,2,0,0;0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,3;100,3,4,4,3,4,4,3,4,1,4,4,4,4,1,4;100,2,3,4,4,4;0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0;0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0;0,0,0,0,0,2,0,3,0,0,0;0,0;0,0,0,0,0,0,0,0,0,1;0,0;0,0,0,0,0,2,1,0,1,1,0,0,0,2;0,0,0,0,0,0,0,2,0,0,0;0,0,0,0,0,0,0,0;0,3,0,0,0;0,0;0,3,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0;0,0,0,0;0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,2,0;0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,3,0,2,1,0,3,0,0;0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,0,0,0,0;0,0,0,0,0,0,0,1,0,3,3,0,2,2,0;100,4,3;0,0,4,0;50,1,0,3,4;0,0
negro;10,0,0;0,0,0,0,0,0,0,0,1,0,0,2,0,0;0,0,2,1;0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,3,0,0;0,0,0,0,0,0,0,0,2,1,0,0,2,0;0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3;0,0,0;0,0,0,0,0,0,0,1,0,0,0,0,0,1,0;0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0;0,0,0,0,0,3,0,0,0,0,2,1,0;0,3,0,0;0,0,0,0,2,0,2,0,0,0,0,0,0,0;0,0,0,0,1,3,0,0,1,0,0,0,0,0;100,4,4,1,4,3,4,3,4,4,4,3,4,3,2,1,4,3,4,3;100,4,0,4,4,3,3,3,4,3,4,4,3,4,4,3,4,4,4,4,3;0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0;0,0,0,1,4,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0;0,0,0;0,0,0,1,0,0,0,0,0,0,0,2,0;0,0,0,0,0,0,0,0;0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0;0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0;0,0,0,3,2,0,0,0,0,0,0;0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0;0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,1;0,0;0,0,0,0,0,2,0,0,1,0,0;0,1;0,0,0,1,0,0,0,0;0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,1;100,1,2,2,4,4,4,4,4,4,4,3,3,2,4,1,3,4;0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0;50,1,2,0,0,4,4,3;0,0,0,0,0,0,0,0,0,2,2,0,2,0
nubes;0,0,0,0,2,0,2;0,0,1,0,0;0,0,1,4,0,0,0,0,0,1,0,0,0;0,0,0,1,0,2,0;0,0,0,2,0,0;0,0,0,0,0,0,0;0,0,0,0,0,2,0,0,0,0;0,0,0,1,0,2,0;0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,1,0;0,0,1,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0;50,0,0,3,1,4,0,1;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3;0,0;0,0,0,0,0,0,0,0,0;0,0;0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,3,1,0,0,0;0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;10,0,1,3,2,0,1,0,0;0,0,0,0,0,0,0,3,0,0,0;0,0,0;0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0;100,4,3,3;0,0,0,0,0;0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0;0,0,0,0,0,0,0,0,4;0,0,0,1,0,2,0,0,0,1,0,0;100,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4;0,0,1,0,0,0,0,0,0,0;0,0,0,0,3,0,0,0,0,0;0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,3,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,1,0,0,0;0,0,2,0,3,0,0,0,0,1,0,0;0,0,3,0,0;100,3,2,4,4,4,3,4,4,3,4,3,4,3,4;0,0,0,2,0,1,0,0,0,0,0,1;90,3,1,2,4,3,3,2,3,4,3,4,3,3;0,0;90,0,4,4,2,3,4,4,4,1,3,0,4,1,4,3
organico;100,3,2,2,4,4,3,0,4,3,3;100,4,3,4,4,3;100,3,4,4,3,1,2,3,3,0,4,3,3,4,4;0,0,0,1,2;100,3,2,2,4,4,3,3,4,2,3,4,4,4,4,4,1,3;100,3,3,2,4,2,3,0,3,4,1,4,1,2;100,2,4,3,4,4,2,4,3,4,4,3,2,3,1;70,1,1,1,1,1;100,4,4,4,1,4,3,4,4,0,3,4,1,4,4,3;0,0,3,1;0,1,3,0,1,0,1,0,3,0;100,3,4,4,4,4,1,4,4,4,3,4,3,4;100,3,4,3,4,3,3,4,4,4,4,1,4,2,4,3;100,0,4,3,4,1,3,1;0,0,2,0,1,0,1,0,2,2,0;0,0,0,1;0,0,0,2,0,0,3;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1;0,1,0,2,3,0,0,0,4,0,0,0,0,0,0;0,0,2,0,2,0,1,0;100,3,2,1,4,3,2,3,3,4,1,4,4,4,4,4;100,3,4,4,2;0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2;0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;100,1,4,1,4,3,3;100,4,4,3,4,3,2,4,0;100,2,4,2,4,4;0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0;0,0,1,0;100,1,3,4,4,4,4,2,3,2,4,4,3,2,3,4,3,4,0,4,4;100,4,3,3;0,0;100,3,4,3,2,4,4,3,3,0,4,4,3,4,3,4,3;100,4,3,4,2,4,2;0,0,3,0,0,2,0,0,0,0,0;100,2,4,4,3,4,3,3,2;0,0,2,0,0,0,0,0,1;100,4,4,4,2,3,3;0,1,0,0,1,0,0,0,0,0,0,2
oscuro;0,0;0,0,0,0,0,1,0,1,2,2;0,0,0,0,1;0,0,0,0,0,0,0,0;0,0,2,0,0,0;0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,4,0,0,0,0;0,0,0,0,3,0,0,0,0;0,0,0,0,0;0,0,0,0,0,0,0,3,0,0,0,0,2;0,0,2,0,0,0,0,0,0,0,3,0;0,2;0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2;0,0,3;0,0,2,0,0,0,0,0,0,0,0,0,0,0,0;100,4;0,0,0,0,1;0,0,0,0;0,0,0,0,0,0,3,0,1,0;0,0,0,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,1,4,0,1,0,0,0,0,0,0,2,0,0;0,0,0,0,0,0,0,0;0,0,0,1,3,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,3,0,0,1,0,0,0,0,0;0,0,0,0,0,0,3;0,0,0,0,0,0,1,0,0,0;0,0,0,1,0,0,0,0,2,0,1,0,0;0,0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0;0,0,0,0,3,0,0,1,0,0;0,0,0,0,3,0,1,0,0,0;0,0,1,0,0,2,0,0,0,0;0,0,2,0,0,1,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,3,0,0,3,2,1,1;0,0,0
paisaje;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,1,1,0,0;0,0,3,0,3;0,0,0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0;0,0,0,0,0,0,0,4,1,3,0,1,0,0,0,2,0;0,2,0,0,0,0,0;0,1,0,0,0,0,0,1,0,3,0,0,0,0,1;0,0,0,1,0,0,0;100,4,3,4,4,1,2,4,3,3,4,4;0,2,3,0,0,1;0,0,3,0,1,2,0,1,0,0,0,0,0,0,0,4,0,0,2,0;0,0,0,0,0,0,0,3,0,0,1,0;0,0,0,0,0;20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;100,1,3,4,3,4,4,1,4;0,2,0,0,0,0,0,1;100,0,3,3,2,4,4,4;0,0,2,0,0;0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3,0;0,0,0,0,0,1,0;100,0,4,3,4,4,4,3,1,4,4,2,3,2;0,0,0;0,2,0,0,1,0,1,0,0,3,0,0,0,0,2,0,0,0,4,0,0;0,0,3,0,0,1,0,0,2,0,0;0,1,2,0,0,2,0,0,0,0,0;100,4,4,0,2,3,4,4,4,3,4,4,4,4,3;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;100,4,4,3,3,2,3;0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0;0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,3,0;0,0,2,0,0,0,0,1,0,3,3,0,0,0,2;0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;100,4,3,2,4,3,4;0,0,0,0;0,0,0,1,0,2,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0;0,1,0,0;0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
pajaro;0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1;100,4,4,4,2,3,3;0,0,0,0,0;0,0;0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0;0,0,0,0,0,0,0,0,2,0,2,2,0,2,1,0;0,0,0,0,0,0,0,0,0,2,0,0;0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,1;0,0;0,0,1,3,0,1,0,1,0,1,0;0,3,1,1,0,0,0,2,0,0,0,0,0,0;100,1,4,3,4,2,4,3,3,4,4,3,4,3,1,4;100,4,3,2,4,4,3,3,4,3,4,4,3;0,0,0,0,0,0,0,0,0,0,1,0;0,0,0;0,0,0,0,0,1,0,0,0,0,0;0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0;0,0,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0;0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0;0,0,0,0,0,0,1,0,1;0,0,1;0,0,0,1,0,0,3;0,0,0,0,0,0,0,3,1,0,0,0,0,0,0;0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0;0,0,0,0,0;0,0,1,0,0,3,4,0,0;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0;0,0;0,0,0,0,3,0,0,0;0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0;0,0,0,0,0,0,3,0,3,0,0,2;0,0,0,0,0,3,0,0,0,0,0,0,2,2;0,0,0;0,0,0,0,0,0;0,0,0,1,0,0,0,0,3,0,0,0;0,0,0,0;0,0,0,2,0,0,0,0,2,1,0;0,0,0,0,0,0,0,0,0;0,0,0,0,0,4,0,0,0,0
pan;0,1,0,2,0;0,0,0,0,1,0;0,0,2,0,0,1,1,0,0,0,0,0,0;0,0,3,0,0,3,0,0,0,0,1,0,1,0,2,0,0,0,0,0;0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1;100,3,3,3,4,4,2,4,4,1,2,4,3;100,3,3;0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,3,0,0,0,0,2,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,3,0,0,1,0,0,0,0,0;0,0,0,0,0,3,4,0,0,0,1,0,1,0,1,0,1,0,0;0,0,0,0,0,0,0,1,0,3,3,0,4,0,0,0,0,0;0,0,1,0,1,0,0,0;0,0,0,0,0,0,1,0,0,0,2,0,0;0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0;0,0,0;0,1,0,0,0,0,0,0,0;0,0,0,1,0,0,0,0,4,0,0,0,0;0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0;0,0,1,2,0,0,0,0,2,0,0,1,1,0,0,0,0;0,2,0,0,0,1;0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,1;0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0;100,4,4;0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0;0,4,0,0,0,2,0;0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,0;0,0,0;0,0,1,0,0,0;0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0;0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;0,0,0,0,2,0,0,0,0,2,0;0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0
parrilla;0,1,3,0,1,1,0,0,2;0,0,0,0,0,0,2,0,0,1,0,0,0;0,3,1;0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,2,0,0;90,4,2,0,2,4,2;0,0,2,2,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0;0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,2,0,0;0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,2,0,0,0,3,1,2,0,3,2,0,3,0,0,0;0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0;0,0,0,0,0,0,0,2,2,0,1,1,0,3,2,0,1,0,0;0,0,0,1,0,2,0,0,0,0;0,0,0,0,0,3,0,4,0,0,1,0,0,0,4,0,0,0;0,4,0,0,0;0,0,4,4,0;0,3,0,2;0,1,0,0,3,0,0,2,0,0,1,0;0,0,0,0,0,0,2,3,1,0,0;0,0,0,0,0,0,0,0,3,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,3,0,3,0,0;0,0,0,2,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0;0,1,0,0,2;0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0;0,0,0,2,0,0,0,0,3;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3;0,0,3,0,0;0,0;0,0,0,0,2;0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0;0,0,1,0,0,0,0,0,2;0,3,0,0,0,0,0,0,0,1;0,0,0,3,0,0,0,0,0,0,1,0,0;0,0,1,2,0,0,0
pasaje;0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,2,0,0,0,1,0,0,0;0,0,2,0,1,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0;0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2;0,1,0,0,0,0,0,0,0,1,1;0,1;0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0;0,2;0,1,0,0,0,0,0,1,0,0,0,0,0,0,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2;0,0;0,0,0,0,1,0,0,2,0,0,0,0;0,0,1,0,0,0;0,1,0,1,0,3,0,0,0,0,0,4,0;0,0,0,1;0,2,0,0,0,0,2,0,0,0,0,2,0,1,0;0,1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,1,0,0,0,0,2,0,0,2;0,0,0,2,0,0,3,0,0,0,0,0;0,0,3,0,0,0,0,0,0;0,0,0,3,0,2,0,0,0,0,0,0,0,0,1;0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0;0,0,0;0,0,0,0,1,1,1,0,0,4;0,3,2,0,0,0,0,0,0,4,1,2,0;0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,0,3,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1;0,0,0,0,0;0,0,3,0,0,0;0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0;0,0,0,0,0,0,3,0,1,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,2,0,0,0,0,4,3,0,0,0,1,1,0;0,0,0,0,0,0,0,0,0,2,0,0;0,0,0,0,2,0,2,0,0,1,0,0,0,2,0;0,0,0,4,0,1,1,0,1,0,0;0,0,0,0,0,0,0;90,3,3,4,1,1,4,3,3,4,4,4,1,3,4;0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0;90,3,2,4,4,4,4,3,4,1,3,4,1,1,4,4,2,4,3,4,4
peligroso;100,1,3,0,3,3;10,2,0,3,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0;0,0,0,0,1,0,0,0,1,0,0,0;0,0,2,0,0,0,0,0,0,0,0,0,0;0,0;0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0;0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0;0,0;0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0,0,0,0,0,0,0,0,0;10,0,0,0,1,0,0,1,0,0;0,0,3;30,2,0,4,0,1,1,3,0,3,0,1,0,1,2,0,0,0,0;100,3,2,4;100,4,4,4,4,4,3,4,3,4,3,2,4,4,4,3;10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,1,0;0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,1,0,0;0,3,3,0,0,3,0,0,0,4,0,0,0;60,3,4,2,0,0,4,0,3,4,0,0,1,0,1,4,4;0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,3,1,0,0,0,0;0,0,4,0,1,0,0,0,0,0,0,0;0,0,0,2;0,0,0,0,0,0,3,0,0,0,0;60,1,4,0,4,3,3,0,0,4,1;0,0,0,0,4,0,0,3,0,1;50,1,0,1,1,0,4,0,4,1;0,0,0,0,0;0,0,0,2;0,0,0,0,0,0,3,0,0,0,2,0,0,0,0;0,0;10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0;20,0,0,0,0,2,0,0,3,0,0;0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,3;10,0,3,0;10,0,0,0,2,0,0,0,0,0,0,0,0,0,0;0,0,0,2,0,0,0,3,0,1,0,4,1,0,2,0,0,1,4,0,0;10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
